Units,Year,Location,Provider,Funding
0,2022-23,Rhondda Cynon Taf,First Choice Housing Association,Total
0,2022-23,Rhondda Cynon Taf,First Choice Housing Association,Capital Grant Funded
0,2022-23,Rhondda Cynon Taf,First Choice Housing Association,Non-Capital Grant Funded
0,2022-23,Rhondda Cynon Taf,Linc Cymru,Total
0,2022-23,Rhondda Cynon Taf,Linc Cymru,Capital Grant Funded
0,2022-23,Rhondda Cynon Taf,Linc Cymru,Non-Capital Grant Funded
35,2022-23,Rhondda Cynon Taf,Hafod Housing Association,Total
20,2022-23,Rhondda Cynon Taf,Hafod Housing Association,Capital Grant Funded
15,2022-23,Rhondda Cynon Taf,Hafod Housing Association,Non-Capital Grant Funded
0,2022-23,Rhondda Cynon Taf,Newydd Housing Association,Total
0,2022-23,Rhondda Cynon Taf,Newydd Housing Association,Capital Grant Funded
0,2022-23,Rhondda Cynon Taf,Newydd Housing Association,Non-Capital Grant Funded
56,2022-23,Rhondda Cynon Taf,Rhondda Housing Association,Total
56,2022-23,Rhondda Cynon Taf,Rhondda Housing Association,Capital Grant Funded
0,2022-23,Rhondda Cynon Taf,Rhondda Housing Association,Non-Capital Grant Funded
0,2022-23,Rhondda Cynon Taf,United Welsh Housing Association,Total
0,2022-23,Rhondda Cynon Taf,United Welsh Housing Association,Capital Grant Funded
0,2022-23,Rhondda Cynon Taf,United Welsh Housing Association,Non-Capital Grant Funded
0,2022-23,Rhondda Cynon Taf,Wales and West Housing,Total
0,2022-23,Rhondda Cynon Taf,Wales and West Housing,Capital Grant Funded
0,2022-23,Rhondda Cynon Taf,Wales and West Housing,Non-Capital Grant Funded
28,2022-23,Rhondda Cynon Taf,Trivallis,Total
28,2022-23,Rhondda Cynon Taf,Trivallis,Capital Grant Funded
0,2022-23,Rhondda Cynon Taf,Trivallis,Non-Capital Grant Funded
29,2022-23,Rhondda Cynon Taf,Cynon-Taf Community Housing Group,Total
29,2022-23,Rhondda Cynon Taf,Cynon-Taf Community Housing Group,Capital Grant Funded
0,2022-23,Rhondda Cynon Taf,Cynon-Taf Community Housing Group,Non-Capital Grant Funded
12,2022-23,Rhondda Cynon Taf,Pobl Group,Total
12,2022-23,Rhondda Cynon Taf,Pobl Group,Capital Grant Funded
0,2022-23,Rhondda Cynon Taf,Pobl Group,Non-Capital Grant Funded
0,2022-23,Merthyr Tydfil,Merthyr Tydfil,Total
0,2022-23,Merthyr Tydfil,Merthyr Tydfil,Capital Grant Funded
0,2022-23,Merthyr Tydfil,Merthyr Tydfil,Non-Capital Grant Funded
25,2022-23,Merthyr Tydfil,Registered Social Landlords,Total
24,2022-23,Merthyr Tydfil,Registered Social Landlords,Capital Grant Funded
1,2022-23,Merthyr Tydfil,Registered Social Landlords,Non-Capital Grant Funded
0,2022-23,Merthyr Tydfil,Aelwyd Housing Association,Total
0,2022-23,Merthyr Tydfil,Aelwyd Housing Association,Capital Grant Funded
0,2022-23,Merthyr Tydfil,Aelwyd Housing Association,Non-Capital Grant Funded
0,2022-23,Merthyr Tydfil,Merthyr Tydfil Housing Association,Total
0,2022-23,Merthyr Tydfil,Merthyr Tydfil Housing Association,Capital Grant Funded
0,2022-23,Merthyr Tydfil,Merthyr Tydfil Housing Association,Non-Capital Grant Funded
0,2022-23,Merthyr Tydfil,United Welsh Housing Association,Total
0,2022-23,Merthyr Tydfil,United Welsh Housing Association,Capital Grant Funded
0,2022-23,Merthyr Tydfil,United Welsh Housing Association,Non-Capital Grant Funded
1,2022-23,Merthyr Tydfil,Wales and West Housing,Total
1,2022-23,Merthyr Tydfil,Wales and West Housing,Capital Grant Funded
0,2022-23,Merthyr Tydfil,Wales and West Housing,Non-Capital Grant Funded
24,2022-23,Merthyr Tydfil,Merthyr Valleys Homes,Total
23,2022-23,Merthyr Tydfil,Merthyr Valleys Homes,Capital Grant Funded
1,2022-23,Merthyr Tydfil,Merthyr Valleys Homes,Non-Capital Grant Funded
18,2022-23,Caerphilly,Caerphilly,Total
18,2022-23,Caerphilly,Caerphilly,Capital Grant Funded
0,2022-23,Caerphilly,Caerphilly,Non-Capital Grant Funded
170,2022-23,Caerphilly,Registered Social Landlords,Total
125,2022-23,Caerphilly,Registered Social Landlords,Capital Grant Funded
45,2022-23,Caerphilly,Registered Social Landlords,Non-Capital Grant Funded
0,2022-23,Caerphilly,Aelwyd Housing Association,Total
0,2022-23,Caerphilly,Aelwyd Housing Association,Capital Grant Funded
0,2022-23,Caerphilly,Aelwyd Housing Association,Non-Capital Grant Funded
0,2022-23,Caerphilly,Cadwyn Housing Association,Total
0,2022-23,Caerphilly,Cadwyn Housing Association,Capital Grant Funded
0,2022-23,Caerphilly,Cadwyn Housing Association,Non-Capital Grant Funded
0,2022-23,Caerphilly,First Choice Housing Association,Total
0,2022-23,Caerphilly,First Choice Housing Association,Capital Grant Funded
0,2022-23,Caerphilly,First Choice Housing Association,Non-Capital Grant Funded
1,2022-23,Caerphilly,Linc Cymru,Total
1,2022-23,Caerphilly,Linc Cymru,Capital Grant Funded
0,2022-23,Caerphilly,Linc Cymru,Non-Capital Grant Funded
115,2022-23,Caerphilly,United Welsh Housing Association,Total
103,2022-23,Caerphilly,United Welsh Housing Association,Capital Grant Funded
12,2022-23,Caerphilly,United Welsh Housing Association,Non-Capital Grant Funded
20,2022-23,Caerphilly,Wales and West Housing,Total
0,2022-23,Caerphilly,Wales and West Housing,Capital Grant Funded
20,2022-23,Caerphilly,Wales and West Housing,Non-Capital Grant Funded
34,2022-23,Caerphilly,Pobl Group,Total
21,2022-23,Caerphilly,Pobl Group,Capital Grant Funded
13,2022-23,Caerphilly,Pobl Group,Non-Capital Grant Funded
0,2022-23,Blaenau Gwent,Blaenau Gwent,Total
0,2022-23,Blaenau Gwent,Blaenau Gwent,Capital Grant Funded
0,2022-23,Blaenau Gwent,Blaenau Gwent,Non-Capital Grant Funded
3,2022-23,Blaenau Gwent,Registered Social Landlords,Total
3,2022-23,Blaenau Gwent,Registered Social Landlords,Capital Grant Funded
0,2022-23,Blaenau Gwent,Registered Social Landlords,Non-Capital Grant Funded
0,2022-23,Blaenau Gwent,Aelwyd Housing Association,Total
0,2022-23,Blaenau Gwent,Aelwyd Housing Association,Capital Grant Funded
0,2022-23,Blaenau Gwent,Aelwyd Housing Association,Non-Capital Grant Funded
0,2022-23,Blaenau Gwent,First Choice Housing Association,Total
0,2022-23,Blaenau Gwent,First Choice Housing Association,Capital Grant Funded
0,2022-23,Blaenau Gwent,First Choice Housing Association,Non-Capital Grant Funded
0,2022-23,Blaenau Gwent,Linc Cymru,Total
0,2022-23,Blaenau Gwent,Linc Cymru,Capital Grant Funded
0,2022-23,Blaenau Gwent,Linc Cymru,Non-Capital Grant Funded
3,2022-23,Blaenau Gwent,United Welsh Housing Association,Total
3,2022-23,Blaenau Gwent,United Welsh Housing Association,Capital Grant Funded
0,2022-23,Blaenau Gwent,United Welsh Housing Association,Non-Capital Grant Funded
0,2022-23,Blaenau Gwent,Melin Homes,Total
0,2022-23,Blaenau Gwent,Melin Homes,Capital Grant Funded
0,2022-23,Blaenau Gwent,Melin Homes,Non-Capital Grant Funded
0,2022-23,Blaenau Gwent,Tai Calon Community Housing,Total
0,2022-23,Blaenau Gwent,Tai Calon Community Housing,Capital Grant Funded
0,2022-23,Blaenau Gwent,Tai Calon Community Housing,Non-Capital Grant Funded
0,2022-23,Torfaen,Torfaen,Total
0,2022-23,Torfaen,Torfaen,Capital Grant Funded
0,2022-23,Torfaen,Torfaen,Non-Capital Grant Funded
120,2022-23,Torfaen,Registered Social Landlords,Total
77,2022-23,Torfaen,Registered Social Landlords,Capital Grant Funded
43,2022-23,Torfaen,Registered Social Landlords,Non-Capital Grant Funded
0,2022-23,Torfaen,Aelwyd Housing Association,Total
0,2022-23,Torfaen,Aelwyd Housing Association,Capital Grant Funded
0,2022-23,Torfaen,Aelwyd Housing Association,Non-Capital Grant Funded
0,2022-23,Torfaen,First Choice Housing Association,Total
0,2022-23,Torfaen,First Choice Housing Association,Capital Grant Funded
0,2022-23,Torfaen,First Choice Housing Association,Non-Capital Grant Funded
0,2022-23,Torfaen,Linc Cymru,Total
0,2022-23,Torfaen,Linc Cymru,Capital Grant Funded
0,2022-23,Torfaen,Linc Cymru,Non-Capital Grant Funded
0,2022-23,Torfaen,United Welsh Housing Association,Total
0,2022-23,Torfaen,United Welsh Housing Association,Capital Grant Funded
0,2022-23,Torfaen,United Welsh Housing Association,Non-Capital Grant Funded
54,2022-23,Torfaen,Melin Homes,Total
39,2022-23,Torfaen,Melin Homes,Capital Grant Funded
15,2022-23,Torfaen,Melin Homes,Non-Capital Grant Funded
20,2022-23,Torfaen,Bron Afon Community Housing,Total
20,2022-23,Torfaen,Bron Afon Community Housing,Capital Grant Funded
0,2022-23,Torfaen,Bron Afon Community Housing,Non-Capital Grant Funded
46,2022-23,Torfaen,Pobl Group,Total
18,2022-23,Torfaen,Pobl Group,Capital Grant Funded
28,2022-23,Torfaen,Pobl Group,Non-Capital Grant Funded
0,2022-23,Monmouthshire,Monmouthshire,Total
0,2022-23,Monmouthshire,Monmouthshire,Capital Grant Funded
0,2022-23,Monmouthshire,Monmouthshire,Non-Capital Grant Funded
66,2022-23,Monmouthshire,Registered Social Landlords,Total
47,2022-23,Monmouthshire,Registered Social Landlords,Capital Grant Funded
19,2022-23,Monmouthshire,Registered Social Landlords,Non-Capital Grant Funded
0,2022-23,Monmouthshire,Aelwyd Housing Association,Total
0,2022-23,Monmouthshire,Aelwyd Housing Association,Capital Grant Funded
0,2022-23,Monmouthshire,Aelwyd Housing Association,Non-Capital Grant Funded
0,2022-23,Monmouthshire,First Choice Housing Association,Total
0,2022-23,Monmouthshire,First Choice Housing Association,Capital Grant Funded
0,2022-23,Monmouthshire,First Choice Housing Association,Non-Capital Grant Funded
0,2022-23,Monmouthshire,Linc Cymru,Total
0,2022-23,Monmouthshire,Linc Cymru,Capital Grant Funded
0,2022-23,Monmouthshire,Linc Cymru,Non-Capital Grant Funded
0,2022-23,Monmouthshire,United Welsh Housing Association,Total
0,2022-23,Monmouthshire,United Welsh Housing Association,Capital Grant Funded
0,2022-23,Monmouthshire,United Welsh Housing Association,Non-Capital Grant Funded
23,2022-23,Monmouthshire,Melin Homes,Total
9,2022-23,Monmouthshire,Melin Homes,Capital Grant Funded
14,2022-23,Monmouthshire,Melin Homes,Non-Capital Grant Funded
35,2022-23,Monmouthshire,Monmouthshire Housing,Total
32,2022-23,Monmouthshire,Monmouthshire Housing,Capital Grant Funded
3,2022-23,Monmouthshire,Monmouthshire Housing,Non-Capital Grant Funded
8,2022-23,Monmouthshire,Pobl Group,Total
6,2022-23,Monmouthshire,Pobl Group,Capital Grant Funded
2,2022-23,Monmouthshire,Pobl Group,Non-Capital Grant Funded
0,2022-23,Newport,Newport,Total
0,2022-23,Newport,Newport,Capital Grant Funded
0,2022-23,Newport,Newport,Non-Capital Grant Funded
218,2022-23,Newport,Registered Social Landlords,Total
196,2022-23,Newport,Registered Social Landlords,Capital Grant Funded
22,2022-23,Newport,Registered Social Landlords,Non-Capital Grant Funded
0,2022-23,Newport,Aelwyd Housing Association,Total
0,2022-23,Newport,Aelwyd Housing Association,Capital Grant Funded
0,2022-23,Newport,Aelwyd Housing Association,Non-Capital Grant Funded
0,2022-23,Newport,First Choice Housing Association,Total
0,2022-23,Newport,First Choice Housing Association,Capital Grant Funded
0,2022-23,Newport,First Choice Housing Association,Non-Capital Grant Funded
12,2022-23,Newport,Linc Cymru,Total
12,2022-23,Newport,Linc Cymru,Capital Grant Funded
0,2022-23,Newport,Linc Cymru,Non-Capital Grant Funded
0,2022-23,Newport,United Welsh Housing Association,Total
0,2022-23,Newport,United Welsh Housing Association,Capital Grant Funded
0,2022-23,Newport,United Welsh Housing Association,Non-Capital Grant Funded
47,2022-23,Newport,Melin Homes,Total
47,2022-23,Newport,Melin Homes,Capital Grant Funded
0,2022-23,Newport,Melin Homes,Non-Capital Grant Funded
79,2022-23,Newport,Newport City Homes,Total
61,2022-23,Newport,Newport City Homes,Capital Grant Funded
18,2022-23,Newport,Newport City Homes,Non-Capital Grant Funded
80,2022-23,Newport,Pobl Group,Total
76,2022-23,Newport,Pobl Group,Capital Grant Funded
4,2022-23,Newport,Pobl Group,Non-Capital Grant Funded
756,2023-24,Wales,Local Authorities,Total
603,2023-24,Wales,Local Authorities,Capital Grant Funded
153,2023-24,Wales,Local Authorities,Non-Capital Grant Funded
2433,2023-24,Wales,Registered Social Landlords,Total
1822,2023-24,Wales,Registered Social Landlords,Capital Grant Funded
611,2023-24,Wales,Registered Social Landlords,Non-Capital Grant Funded
35,2023-24,Isle of Anglesey,Isle of Anglesey,Total
23,2023-24,Isle of Anglesey,Isle of Anglesey,Capital Grant Funded
12,2023-24,Isle of Anglesey,Isle of Anglesey,Non-Capital Grant Funded
134,2023-24,Isle of Anglesey,Registered Social Landlords,Total
134,2023-24,Isle of Anglesey,Registered Social Landlords,Capital Grant Funded
0,2023-24,Isle of Anglesey,Registered Social Landlords,Non-Capital Grant Funded
132,2023-24,Isle of Anglesey,Clwyd Alyn Housing Association,Total
132,2023-24,Isle of Anglesey,Clwyd Alyn Housing Association,Capital Grant Funded
0,2023-24,Isle of Anglesey,Clwyd Alyn Housing Association,Non-Capital Grant Funded
2,2023-24,Isle of Anglesey,Grwp Cynefin,Total
2,2023-24,Isle of Anglesey,Grwp Cynefin,Capital Grant Funded
0,2023-24,Isle of Anglesey,Grwp Cynefin,Non-Capital Grant Funded
0,2023-24,Isle of Anglesey,North Wales Housing Association,Total
0,2023-24,Isle of Anglesey,North Wales Housing Association,Capital Grant Funded
0,2023-24,Isle of Anglesey,North Wales Housing Association,Non-Capital Grant Funded
12,2023-24,Gwynedd,Gwynedd,Total
7,2023-24,Gwynedd,Gwynedd,Capital Grant Funded
5,2023-24,Gwynedd,Gwynedd,Non-Capital Grant Funded
99,2023-24,Gwynedd,Registered Social Landlords,Total
99,2023-24,Gwynedd,Registered Social Landlords,Capital Grant Funded
0,2023-24,Gwynedd,Registered Social Landlords,Non-Capital Grant Funded
0,2023-24,Gwynedd,Clwyd Alyn Housing Association,Total
0,2023-24,Gwynedd,Clwyd Alyn Housing Association,Capital Grant Funded
0,2023-24,Gwynedd,Clwyd Alyn Housing Association,Non-Capital Grant Funded
15,2023-24,Gwynedd,Grwp Cynefin,Total
15,2023-24,Gwynedd,Grwp Cynefin,Capital Grant Funded
0,2023-24,Gwynedd,Grwp Cynefin,Non-Capital Grant Funded
0,2023-24,Gwynedd,Stori Cymru,Total
0,2023-24,Gwynedd,Stori Cymru,Capital Grant Funded
0,2023-24,Gwynedd,Stori Cymru,Non-Capital Grant Funded
0,2023-24,Gwynedd,First Choice Housing Association,Total
0,2023-24,Gwynedd,First Choice Housing Association,Capital Grant Funded
0,2023-24,Gwynedd,First Choice Housing Association,Non-Capital Grant Funded
0,2023-24,Gwynedd,Linc Cymru,Total
0,2023-24,Gwynedd,Linc Cymru,Capital Grant Funded
0,2023-24,Gwynedd,Linc Cymru,Non-Capital Grant Funded
0,2023-24,Gwynedd,North Wales Housing Association,Total
0,2023-24,Gwynedd,North Wales Housing Association,Capital Grant Funded
0,2023-24,Gwynedd,North Wales Housing Association,Non-Capital Grant Funded
0,2023-24,Gwynedd,Cartrefi Conwy,Total
0,2023-24,Gwynedd,Cartrefi Conwy,Capital Grant Funded
0,2023-24,Gwynedd,Cartrefi Conwy,Non-Capital Grant Funded
84,2023-24,Gwynedd,Adra,Total
84,2023-24,Gwynedd,Adra,Capital Grant Funded
0,2023-24,Gwynedd,Adra,Non-Capital Grant Funded
0,2023-24,Conwy,Conwy,Total
0,2023-24,Conwy,Conwy,Capital Grant Funded
0,2023-24,Conwy,Conwy,Non-Capital Grant Funded
65,2023-24,Conwy,Registered Social Landlords,Total
45,2023-24,Conwy,Registered Social Landlords,Capital Grant Funded
20,2023-24,Conwy,Registered Social Landlords,Non-Capital Grant Funded
13,2023-24,Conwy,Clwyd Alyn Housing Association,Total
1,2023-24,Conwy,Clwyd Alyn Housing Association,Capital Grant Funded
12,2023-24,Conwy,Clwyd Alyn Housing Association,Non-Capital Grant Funded
0,2023-24,Conwy,Abbeyfield Colwyn Bay,Total
0,2023-24,Conwy,Abbeyfield Colwyn Bay,Capital Grant Funded
0,2023-24,Conwy,Abbeyfield Colwyn Bay,Non-Capital Grant Funded
3,2023-24,Conwy,Grwp Cynefin,Total
3,2023-24,Conwy,Grwp Cynefin,Capital Grant Funded
0,2023-24,Conwy,Grwp Cynefin,Non-Capital Grant Funded
0,2023-24,Conwy,Stori Cymru,Total
0,2023-24,Conwy,Stori Cymru,Capital Grant Funded
0,2023-24,Conwy,Stori Cymru,Non-Capital Grant Funded
6,2023-24,Conwy,First Choice Housing Association,Total
6,2023-24,Conwy,First Choice Housing Association,Capital Grant Funded
0,2023-24,Conwy,First Choice Housing Association,Non-Capital Grant Funded
0,2023-24,Conwy,Linc Cymru,Total
0,2023-24,Conwy,Linc Cymru,Capital Grant Funded
0,2023-24,Conwy,Linc Cymru,Non-Capital Grant Funded
0,2023-24,Conwy,North Wales Housing Association,Total
0,2023-24,Conwy,North Wales Housing Association,Capital Grant Funded
0,2023-24,Conwy,North Wales Housing Association,Non-Capital Grant Funded
6,2023-24,Conwy,Wales and West Housing,Total
6,2023-24,Conwy,Wales and West Housing,Capital Grant Funded
0,2023-24,Conwy,Wales and West Housing,Non-Capital Grant Funded
24,2023-24,Conwy,Cartrefi Conwy,Total
24,2023-24,Conwy,Cartrefi Conwy,Capital Grant Funded
0,2023-24,Conwy,Cartrefi Conwy,Non-Capital Grant Funded
13,2023-24,Conwy,Adra,Total
5,2023-24,Conwy,Adra,Capital Grant Funded
8,2023-24,Conwy,Adra,Non-Capital Grant Funded
33,2023-24,Denbighshire,Denbighshire,Total
33,2023-24,Denbighshire,Denbighshire,Capital Grant Funded
0,2023-24,Denbighshire,Denbighshire,Non-Capital Grant Funded
121,2023-24,Denbighshire,Registered Social Landlords,Total
60,2023-24,Denbighshire,Registered Social Landlords,Capital Grant Funded
61,2023-24,Denbighshire,Registered Social Landlords,Non-Capital Grant Funded
10,2023-24,Denbighshire,Clwyd Alyn Housing Association,Total
10,2023-24,Denbighshire,Clwyd Alyn Housing Association,Capital Grant Funded
0,2023-24,Denbighshire,Clwyd Alyn Housing Association,Non-Capital Grant Funded
1,2023-24,Denbighshire,Grwp Cynefin,Total
1,2023-24,Denbighshire,Grwp Cynefin,Capital Grant Funded
0,2023-24,Denbighshire,Grwp Cynefin,Non-Capital Grant Funded
0,2023-24,Denbighshire,Stori Cymru,Total
0,2023-24,Denbighshire,Stori Cymru,Capital Grant Funded
0,2023-24,Denbighshire,Stori Cymru,Non-Capital Grant Funded
1,2023-24,Denbighshire,First Choice Housing Association,Total
1,2023-24,Denbighshire,First Choice Housing Association,Capital Grant Funded
0,2023-24,Denbighshire,First Choice Housing Association,Non-Capital Grant Funded
0,2023-24,Denbighshire,Linc Cymru,Total
0,2023-24,Denbighshire,Linc Cymru,Capital Grant Funded
0,2023-24,Denbighshire,Linc Cymru,Non-Capital Grant Funded
1,2023-24,Denbighshire,North Wales Housing Association,Total
0,2023-24,Denbighshire,North Wales Housing Association,Capital Grant Funded
1,2023-24,Denbighshire,North Wales Housing Association,Non-Capital Grant Funded
0,2023-24,Denbighshire,Wales and West Housing,Total
0,2023-24,Denbighshire,Wales and West Housing,Capital Grant Funded
0,2023-24,Denbighshire,Wales and West Housing,Non-Capital Grant Funded
1,2023-24,Denbighshire,Cartrefi Conwy,Total
1,2023-24,Denbighshire,Cartrefi Conwy,Capital Grant Funded
0,2023-24,Denbighshire,Cartrefi Conwy,Non-Capital Grant Funded
107,2023-24,Denbighshire,Adra,Total
47,2023-24,Denbighshire,Adra,Capital Grant Funded
60,2023-24,Denbighshire,Adra,Non-Capital Grant Funded
48,2023-24,Flintshire,Flintshire,Total
47,2023-24,Flintshire,Flintshire,Capital Grant Funded
1,2023-24,Flintshire,Flintshire,Non-Capital Grant Funded
49,2023-24,Flintshire,Registered Social Landlords,Total
29,2023-24,Flintshire,Registered Social Landlords,Capital Grant Funded
20,2023-24,Flintshire,Registered Social Landlords,Non-Capital Grant Funded
18,2023-24,Flintshire,Clwyd Alyn Housing Association,Total
18,2023-24,Flintshire,Clwyd Alyn Housing Association,Capital Grant Funded
0,2023-24,Flintshire,Clwyd Alyn Housing Association,Non-Capital Grant Funded
10,2023-24,Flintshire,Grwp Cynefin,Total
10,2023-24,Flintshire,Grwp Cynefin,Capital Grant Funded
0,2023-24,Flintshire,Grwp Cynefin,Non-Capital Grant Funded
0,2023-24,Flintshire,Stori Cymru,Total
0,2023-24,Flintshire,Stori Cymru,Capital Grant Funded
0,2023-24,Flintshire,Stori Cymru,Non-Capital Grant Funded
1,2023-24,Flintshire,First Choice Housing Association,Total
1,2023-24,Flintshire,First Choice Housing Association,Capital Grant Funded
0,2023-24,Flintshire,First Choice Housing Association,Non-Capital Grant Funded
0,2023-24,Flintshire,Linc Cymru,Total
0,2023-24,Flintshire,Linc Cymru,Capital Grant Funded
0,2023-24,Flintshire,Linc Cymru,Non-Capital Grant Funded
12,2023-24,Flintshire,North Wales Housing Association,Total
0,2023-24,Flintshire,North Wales Housing Association,Capital Grant Funded
12,2023-24,Flintshire,North Wales Housing Association,Non-Capital Grant Funded
0,2023-24,Flintshire,Wales and West Housing,Total
0,2023-24,Flintshire,Wales and West Housing,Capital Grant Funded
0,2023-24,Flintshire,Wales and West Housing,Non-Capital Grant Funded
8,2023-24,Flintshire,Adra,Total
0,2023-24,Flintshire,Adra,Capital Grant Funded
8,2023-24,Flintshire,Adra,Non-Capital Grant Funded
24,2023-24,Wrexham,Wrexham,Total
23,2023-24,Wrexham,Wrexham,Capital Grant Funded
1,2023-24,Wrexham,Wrexham,Non-Capital Grant Funded
111,2023-24,Wrexham,Registered Social Landlords,Total
51,2023-24,Wrexham,Registered Social Landlords,Capital Grant Funded
60,2023-24,Wrexham,Registered Social Landlords,Non-Capital Grant Funded
7,2023-24,Wrexham,Clwyd Alyn Housing Association,Total
7,2023-24,Wrexham,Clwyd Alyn Housing Association,Capital Grant Funded
0,2023-24,Wrexham,Clwyd Alyn Housing Association,Non-Capital Grant Funded
5,2023-24,Wrexham,Grwp Cynefin,Total
5,2023-24,Wrexham,Grwp Cynefin,Capital Grant Funded
0,2023-24,Wrexham,Grwp Cynefin,Non-Capital Grant Funded
0,2023-24,Wrexham,Stori Cymru,Total
0,2023-24,Wrexham,Stori Cymru,Capital Grant Funded
0,2023-24,Wrexham,Stori Cymru,Non-Capital Grant Funded
12,2023-24,Wrexham,First Choice Housing Association,Total
12,2023-24,Wrexham,First Choice Housing Association,Capital Grant Funded
0,2023-24,Wrexham,First Choice Housing Association,Non-Capital Grant Funded
43,2023-24,Wrexham,North Wales Housing Association,Total
8,2023-24,Wrexham,North Wales Housing Association,Capital Grant Funded
35,2023-24,Wrexham,North Wales Housing Association,Non-Capital Grant Funded
0,2023-24,Wrexham,Ruabon Almshouse,Total
0,2023-24,Wrexham,Ruabon Almshouse,Capital Grant Funded
0,2023-24,Wrexham,Ruabon Almshouse,Non-Capital Grant Funded
25,2023-24,Wrexham,Wales and West Housing,Total
19,2023-24,Wrexham,Wales and West Housing,Capital Grant Funded
6,2023-24,Wrexham,Wales and West Housing,Non-Capital Grant Funded
19,2023-24,Wrexham,Adra,Total
0,2023-24,Wrexham,Adra,Capital Grant Funded
19,2023-24,Wrexham,Adra,Non-Capital Grant Funded
24,2023-24,Powys,Powys,Total
24,2023-24,Powys,Powys,Capital Grant Funded
0,2023-24,Powys,Powys,Non-Capital Grant Funded
75,2023-24,Powys,Registered Social Landlords,Total
73,2023-24,Powys,Registered Social Landlords,Capital Grant Funded
2,2023-24,Powys,Registered Social Landlords,Non-Capital Grant Funded
0,2023-24,Powys,Clwyd Alyn Housing Association,Total
0,2023-24,Powys,Clwyd Alyn Housing Association,Capital Grant Funded
0,2023-24,Powys,Clwyd Alyn Housing Association,Non-Capital Grant Funded
0,2023-24,Powys,Grwp Cynefin,Total
0,2023-24,Powys,Grwp Cynefin,Capital Grant Funded
0,2023-24,Powys,Grwp Cynefin,Non-Capital Grant Funded
0,2023-24,Powys,Stori Cymru,Total
0,2023-24,Powys,Stori Cymru,Capital Grant Funded
0,2023-24,Powys,Stori Cymru,Non-Capital Grant Funded
3,2023-24,Powys,First Choice Housing Association,Total
3,2023-24,Powys,First Choice Housing Association,Capital Grant Funded
0,2023-24,Powys,First Choice Housing Association,Non-Capital Grant Funded
0,2023-24,Powys,Linc Cymru,Total
0,2023-24,Powys,Linc Cymru,Capital Grant Funded
0,2023-24,Powys,Linc Cymru,Non-Capital Grant Funded
0,2023-24,Powys,Newydd Housing Association,Total
0,2023-24,Powys,Newydd Housing Association,Capital Grant Funded
0,2023-24,Powys,Newydd Housing Association,Non-Capital Grant Funded
3,2023-24,Powys,Wales and West Housing,Total
1,2023-24,Powys,Wales and West Housing,Capital Grant Funded
2,2023-24,Powys,Wales and West Housing,Non-Capital Grant Funded
3,2023-24,Powys,Melin Homes,Total
3,2023-24,Powys,Melin Homes,Capital Grant Funded
0,2023-24,Powys,Melin Homes,Non-Capital Grant Funded
66,2023-24,Powys,Barcud Cyfyngedig,Total
66,2023-24,Powys,Barcud Cyfyngedig,Capital Grant Funded
0,2023-24,Powys,Barcud Cyfyngedig,Non-Capital Grant Funded
1,2023-24,Ceredigion,Ceredigion,Total
1,2023-24,Ceredigion,Ceredigion,Capital Grant Funded
0,2023-24,Ceredigion,Ceredigion,Non-Capital Grant Funded
40,2023-24,Ceredigion,Registered Social Landlords,Total
38,2023-24,Ceredigion,Registered Social Landlords,Capital Grant Funded
2,2023-24,Ceredigion,Registered Social Landlords,Non-Capital Grant Funded
0,2023-24,Ceredigion,First Choice Housing Association,Total
0,2023-24,Ceredigion,First Choice Housing Association,Capital Grant Funded
0,2023-24,Ceredigion,First Choice Housing Association,Non-Capital Grant Funded
18,2023-24,Ceredigion,Wales and West Housing,Total
18,2023-24,Ceredigion,Wales and West Housing,Capital Grant Funded
0,2023-24,Ceredigion,Wales and West Housing,Non-Capital Grant Funded
22,2023-24,Ceredigion,Barcud Cyfyngedig,Total
20,2023-24,Ceredigion,Barcud Cyfyngedig,Capital Grant Funded
2,2023-24,Ceredigion,Barcud Cyfyngedig,Non-Capital Grant Funded
74,2023-24,Pembrokeshire,Pembrokeshire,Total
68,2023-24,Pembrokeshire,Pembrokeshire,Capital Grant Funded
6,2023-24,Pembrokeshire,Pembrokeshire,Non-Capital Grant Funded
115,2023-24,Pembrokeshire,Registered Social Landlords,Total
103,2023-24,Pembrokeshire,Registered Social Landlords,Capital Grant Funded
12,2023-24,Pembrokeshire,Registered Social Landlords,Non-Capital Grant Funded
0,2023-24,Pembrokeshire,Bro Myrddin Housing Association,Total
0,2023-24,Pembrokeshire,Bro Myrddin Housing Association,Capital Grant Funded
0,2023-24,Pembrokeshire,Bro Myrddin Housing Association,Non-Capital Grant Funded
0,2023-24,Pembrokeshire,First Choice Housing Association,Total
0,2023-24,Pembrokeshire,First Choice Housing Association,Capital Grant Funded
0,2023-24,Pembrokeshire,First Choice Housing Association,Non-Capital Grant Funded
78,2023-24,Pembrokeshire,Ateb Group,Total
66,2023-24,Pembrokeshire,Ateb Group,Capital Grant Funded
12,2023-24,Pembrokeshire,Ateb Group,Non-Capital Grant Funded
37,2023-24,Pembrokeshire,Wales and West Housing,Total
37,2023-24,Pembrokeshire,Wales and West Housing,Capital Grant Funded
0,2023-24,Pembrokeshire,Wales and West Housing,Non-Capital Grant Funded
0,2023-24,Pembrokeshire,Barcud Cyfyngedig,Total
